event_id,type,timestamp,filename,fps,buffer_s,cooldown_s,motion_threshold,area_frac_thresh,motion_arm_frames,pre_roll_frames,frames_written,roi_w,roi_h,t_trigger,t_end,t_last_motion
1,start,2025-09-10_09-38-04,movement_clips/movement_2025-09-10_09-38-04.avi,30.01367389434408,2,5,3.5,0.01,3,60,,185,282,1757477284.5565767,,
1,end,2025-09-10_09-38-11,movement_clips/movement_2025-09-10_09-38-04.avi,,,,,,,,194,,,,1757477291.3690052,1757477286.3129356
2,start,2025-09-10_09-38-16,movement_clips/movement_2025-09-10_09-38-16.avi,30.01367389434408,2,5,3.5,0.01,3,60,,172,276,1757477296.8127372,,
2,end,2025-09-10_09-38-24,movement_clips/movement_2025-09-10_09-38-16.avi,,,,,,,,203,,,,1757477304.0840313,1757477299.0369186
3,start,2025-09-10_09-38-29,movement_clips/movement_2025-09-10_09-38-29.avi,30.01367389434408,2,5,3.5,0.01,3,60,,160,287,1757477309.5620291,,
3,end,2025-09-10_09-38-38,movement_clips/movement_2025-09-10_09-38-29.avi,,,,,,,,247,,,,1757477318.3024204,1757477313.2335708
4,start,2025-09-10_09-38-43,movement_clips/movement_2025-09-10_09-38-43.avi,30.01367389434408,2,5,3.5,0.01,3,60,,177,282,1757477323.6965573,,
4,end,2025-09-10_09-38-50,movement_clips/movement_2025-09-10_09-38-43.avi,,,,,,,,192,,,,1757477330.4403484,1757477325.3958879
5,start,2025-09-10_09-38-56,movement_clips/movement_2025-09-10_09-38-56.avi,30.01367389434408,2,5,3.5,0.01,3,60,,168,262,1757477336.275098,,
5,end,2025-09-10_09-39-00,movement_clips/movement_2025-09-10_09-38-56.avi,,,,,,,,109,,,,,
1,start,2025-09-10_14-38-43,movement_clips/movement_2025-09-10_14-38-43.avi,30.0,2,5,3.5,0.01,3,60,,156,155,1757495323.9000332,,
1,end,2025-09-10_14-39-02,movement_clips/movement_2025-09-10_14-38-43.avi,,,,,,,,1,,,,,
